Percentiles,Home Page,Search Page,Simple Form 1,Simple Form 2
0.1,279.0,152.0,592.0,967.0
0.2,279.0,152.0,592.0,967.0
0.3,279.0,152.0,592.0,967.0
0.4,279.0,152.0,592.0,967.0
0.5,279.0,152.0,592.0,967.0
0.6,279.0,152.0,592.0,967.0
0.7,279.0,152.0,592.0,967.0
0.8,279.0,152.0,592.0,967.0
0.9,279.0,152.0,592.0,967.0
1.0,279.0,152.0,592.0,967.0
1.1,279.0,152.0,592.0,967.0
1.2,279.0,152.0,592.0,967.0
1.3,279.0,152.0,592.0,967.0
1.4,279.0,152.0,592.0,967.0
1.5,279.0,152.0,592.0,967.0
1.6,279.0,152.0,592.0,967.0
1.7,279.0,152.0,592.0,967.0
1.8,279.0,152.0,592.0,967.0
1.9,279.0,152.0,592.0,967.0
2.0,279.0,152.0,592.0,967.0
2.1,279.0,152.0,592.0,967.0
2.2,279.0,152.0,592.0,967.0
2.3,279.0,152.0,592.0,967.0
2.4,279.0,152.0,592.0,967.0
2.5,279.0,152.0,592.0,967.0
2.6,279.0,152.0,592.0,967.0
2.7,279.0,152.0,592.0,967.0
2.8,279.0,152.0,592.0,967.0
2.9,279.0,152.0,592.0,967.0
3.0,279.0,152.0,592.0,967.0
3.1,279.0,152.0,592.0,967.0
3.2,279.0,152.0,592.0,967.0
3.3,279.0,152.0,592.0,967.0
3.4,443.0,152.0,592.0,967.0
3.5,443.0,152.0,592.0,967.0
3.6,443.0,152.0,592.0,967.0
3.7,443.0,152.0,592.0,967.0
3.8,443.0,237.0,592.0,1193.0
3.9,443.0,237.0,592.0,1193.0
4.0,443.0,237.0,592.0,1193.0
4.1,443.0,237.0,592.0,1193.0
4.2,443.0,237.0,592.0,1193.0
4.3,443.0,237.0,592.0,1193.0
4.4,443.0,237.0,592.0,1193.0
4.5,443.0,237.0,592.0,1193.0
4.6,443.0,237.0,614.0,1193.0
4.7,443.0,237.0,614.0,1193.0
4.8,443.0,237.0,614.0,1193.0
4.9,443.0,237.0,614.0,1193.0
5.0,443.0,237.0,614.0,1193.0
5.1,443.0,237.0,614.0,1193.0
5.2,443.0,237.0,614.0,1193.0
5.3,443.0,237.0,614.0,1193.0
5.4,443.0,237.0,614.0,1193.0
5.5,443.0,237.0,614.0,1193.0
5.6,443.0,237.0,614.0,1193.0
5.7,443.0,237.0,614.0,1193.0
5.8,443.0,237.0,614.0,1193.0
