Percentiles,Home Page,Search Page,Simple Form 1,Simple Form 2
0.1,153.0,174.0,522.0,339.0
0.2,153.0,174.0,522.0,339.0
0.3,153.0,174.0,522.0,339.0
0.4,153.0,174.0,522.0,339.0
0.5,153.0,174.0,522.0,339.0
0.6,153.0,174.0,522.0,339.0
0.7,153.0,174.0,522.0,339.0
0.8,153.0,174.0,522.0,339.0
0.9,153.0,174.0,522.0,339.0
1.0,153.0,174.0,522.0,339.0
1.1,153.0,174.0,522.0,339.0
1.2,153.0,174.0,522.0,339.0
1.3,153.0,174.0,522.0,339.0
1.4,153.0,174.0,522.0,339.0
1.5,153.0,174.0,522.0,339.0
1.6,159.0,198.0,522.0,339.0
1.7,159.0,198.0,522.0,502.0
1.8,159.0,198.0,522.0,502.0
1.9,159.0,198.0,529.0,502.0
2.0,159.0,198.0,529.0,502.0
2.1,159.0,198.0,529.0,502.0
2.2,159.0,198.0,529.0,502.0
2.3,159.0,198.0,529.0,502.0
2.4,159.0,198.0,529.0,502.0
2.5,159.0,198.0,529.0,502.0
2.6,159.0,198.0,529.0,502.0
2.7,159.0,198.0,529.0,502.0
2.8,159.0,198.0,529.0,502.0
2.9,159.0,198.0,529.0,502.0
3.0,159.0,198.0,529.0,502.0
3.1,179.0,198.0,529.0,502.0
3.2,179.0,210.0,529.0,502.0
3.3,179.0,210.0,529.0,665.0
3.4,179.0,210.0,529.0,665.0
3.5,179.0,210.0,529.0,665.0
3.6,179.0,210.0,529.0,665.0
3.7,179.0,210.0,529.0,665.0
3.8,179.0,210.0,541.0,665.0
3.9,179.0,210.0,541.0,665.0
4.0,179.0,210.0,541.0,665.0
4.1,179.0,210.0,541.0,665.0
4.2,179.0,210.0,541.0,665.0
4.3,179.0,210.0,541.0,665.0
4.4,179.0,210.0,541.0,665.0
4.5,179.0,210.0,541.0,665.0
4.6,179.0,210.0,541.0,665.0
4.7,240.0,210.0,541.0,665.0
4.8,240.0,233.0,541.0,665.0
4.9,240.0,233.0,541.0,712.0
5.0,240.0,233.0,541.0,712.0
5.1,240.0,233.0,541.0,712.0
5.2,240.0,233.0,541.0,712.0
5.3,240.0,233.0,541.0,712.0
5.4,240.0,233.0,541.0,712.0
5.5,240.0,233.0,541.0,712.0
5.6,240.0,233.0,543.0,712.0
5.7,240.0,233.0,543.0,712.0
5.8,240.0,233.0,543.0,712.0
5.9,240.0,233.0,543.0,712.0
6.0,240.0,233.0,543.0,712.0
6.1,240.0,233.0,543.0,712.0
6.2,243.0,233.0,543.0,712.0
6.3,243.0,233.0,543.0,712.0
6.4,243.0,267.0,543.0,712.0
6.5,243.0,267.0,543.0,760.0
6.6,243.0,267.0,543.0,760.0
6.7,243.0,267.0,543.0,760.0
6.8,243.0,267.0,543.0,760.0
6.9,243.0,267.0,543.0,760.0
7.0,243.0,267.0,543.0,760.0
7.1,243.0,267.0,543.0,760.0
7.2,243.0,267.0,543.0,760.0
7.3,243.0,267.0,543.0,760.0
7.4,243.0,267.0,543.0,760.0
7.5,243.0,267.0,575.0,760.0
7.6,243.0,267.0,575.0,760.0
7.7,249.0,267.0,575.0,760.0
7.8,249.0,267.0,575.0,760.0
7.9,249.0,267.0,575.0,760.0
8.0,249.0,276.0,575.0,760.0
8.1,249.0,276.0,575.0,780.0
8.2,249.0,276.0,575.0,780.0
8.3,249.0,276.0,575.0,780.0
8.4,249.0,276.0,575.0,780.0
8.5,249.0,276.0,575.0,780.0
8.6,249.0,276.0,575.0,780.0
8.7,249.0,276.0,575.0,780.0
8.8,249.0,276.0,575.0,780.0
8.9,249.0,276.0,575.0,780.0
9.0,249.0,276.0,575.0,780.0
9.1,249.0,276.0,575.0,780.0
9.2,249.0,276.0,575.0,780.0
9.3,267.0,276.0,625.0,780.0
9.4,267.0,276.0,625.0,780.0
9.5,267.0,276.0,625.0,780.0
9.6,267.0,277.0,625.0,780.0
9.7,267.0,277.0,625.0,794.0
9.8,267.0,277.0,625.0,794.0
9.9,267.0,277.0,625.0,794.0
10.0,267.0,277.0,625.0,794.0
10.1,267.0,277.0,625.0,794.0
10.2,267.0,277.0,625.0,794.0
10.3,267.0,277.0,625.0,794.0
10.4,267.0,277.0,625.0,794.0
10.5,267.0,277.0,625.0,794.0
10.6,267.0,277.0,625.0,794.0
10.7,267.0,277.0,625.0,794.0
10.8,280.0,277.0,625.0,794.0
10.9,280.0,277.0,625.0,794.0
11.0,280.0,277.0,625.0,794.0
11.1,280.0,277.0,625.0,794.0
11.2,280.0,281.0,718.0,794.0
11.3,280.0,281.0,718.0,1030.0
11.4,280.0,281.0,718.0,1030.0
11.5,280.0,281.0,718.0,1030.0
11.6,280.0,281.0,718.0,1030.0
11.7,280.0,281.0,718.0,1030.0
11.8,280.0,281.0,718.0,1030.0
11.9,280.0,281.0,718.0,1030.0
12.0,280.0,281.0,718.0,1030.0
12.1,280.0,281.0,718.0,1030.0
12.2,280.0,281.0,718.0,1030.0
12.3,280.0,281.0,718.0,1030.0
12.4,285.0,281.0,718.0,1030.0
12.5,285.0,281.0,718.0,1030.0
12.6,285.0,281.0,718.0,1030.0
12.7,285.0,306.0,718.0,1030.0
12.8,285.0,306.0,718.0,1030.0
12.9,285.0,306.0,718.0,1030.0
13.0,285.0,306.0,730.0,1365.0
13.1,285.0,306.0,730.0,1365.0
13.2,285.0,306.0,730.0,1365.0
13.3,285.0,306.0,730.0,1365.0
13.4,285.0,306.0,730.0,1365.0
13.5,285.0,306.0,730.0,1365.0
13.6,285.0,306.0,730.0,1365.0
13.7,285.0,306.0,730.0,1365.0
13.8,285.0,306.0,730.0,1365.0
13.9,319.0,306.0,730.0,1365.0
14.0,319.0,306.0,730.0,1365.0
14.1,319.0,306.0,730.0,1365.0
14.2,319.0,306.0,730.0,1365.0
